A	a
Impressionist	impressionist
impressionistisch	impressionistically
Impressum	imprint
Imprinter	imprinter
einsperren	incarcerate
Haft	imprisonment
Unwahrscheinlichkeit	unlikelihood
unwahrscheinlich	unlikely
Impromptu	impromptu
unpassend	unfittingly
unsachgemäß	inexpertly
Unangemessenheit	inappropriateness
Unschicklichkeit	impropriety
verbesserungswürdig	improvable
Verbesserung	improvement
sich verbessernd	improvingly
Improvisation	improvisation
improvisatorisch	improvisational
improvisieren	improvise
Improvisator	improviser
Unvorsichtigkeit	unwariness
unklug	unwisely
unvorsichtig	imprudently
impulsiv	impulsively
Impulsivität	impulsivity
Straflosigkeit	impunity
unrein	uncleanly
Unreinheit	uncleanness
In	inn
Unfähigkeit	ineptness
inakzeptabel	unacceptably
Unzugänglichkeit	inaccessibleness
nicht zugänglich	inaccessible
unzugänglich	inaccessibly
Untätigkeit	inaction
inaktivieren	inactivate
Inaktivierung	inactivation
inaktiv	inactively
Inaktivität	inactivity
Unanpassungsfähigkeit	inadaptability
unanpassungsfähig	inadaptable
Unzulänglichkeit	unsoundness
unzureichend	insufficient
Unzulässigkeit	ineligibility
Versehen	inadvertence
unbeabsichtigt	unmeant
Unratsamkeit	inadvisability
nicht ratsam	inadvisable
Unveräußerlichkeit	inalienability
unbelebt	unanimated
Unanwendbarkeit	inapplicability
nicht anwendbar	inapplicably
undankbar	unthankfully
Unverständnis	incomprehension
unnahbar	unapproachable
unangemessen	undue
unbestreitbar	unquestionable
unartikuliert	unarticulated
Unartikuliertheit	inarticulateness
Unkünstlichkeit	inartificiality
unkünstlerisch	inartistic
insofern	inasmuch
unaufmerksam	unwatchful
unverständlich	unintelligibly
unhörbar	inaudibly
Eröffnung	inaugural
Amtseinführung	inauguration
ungünstig	untowardly
unecht	inauthentic
Innenbord	inboard
eingehende	inbound
Posteingang	inbox
Inzucht	inbreed
Unberechenbarkeit	incalculability
unkalkulierbar	incalculably
Glühen	incandescence
weißglühend	incandescently
Beschwörung	summon
unfähig	unable
handlungsunfähig	incapacitate
Menschwerdung	incarnation
brandstiftend	incendiary
Anreiz	inducement
zunächst einmal	inceptively
Inzest	incest
inzestuös	incestuous
Zollwurm	inchworm
Vorfall	incident
übrigens	incidentally
Verbrennungsanlage	incinerator
Einschnitt	incision
Schneidezahn	incisor
aufstacheln	incite
unbarmherzig	unmercifully
Neigung	tilt
geneigt	sloped
inbegriffen	included
einschließlich	inclusively
Aufnahme	intake
Inklusivität	inclusiveness
unzwangbar	incoercible
inkognito	incognito
Zusammenhanglosigkeit	incoherence
Inkohärenz	incohesion
inkohärent	incoherent
zusammenhanglos	incoherently
Unbrennbarkeit	incombustibility
Einkommen	income
eingehend	incoming
unkommunizierbar	incommunicable
unkommunikativ	uncommunicatively
Kommunikationslosigkeit	incommunicativeness
Unvergleichbarkeit	incomparability
Unvergleichlichkeit	matchlessness
unvergleichlich	unparallel
Unvereinbarkeit	incompatibleness
unvereinbar	irreconcilable
Inkompetenz	incompetency
inkompetent	incompetent
unvollständig	incompletely
Unvollständigkeit	incompletion
in Übereinstimmung	incompliance
Unverständlichkeit	unintelligibility
unbegreiflich	incomprehensibly
inkompressibel	incompressible
undenkbar	unthinkably
Unvorstellbarkeit	inconceivableness
unvorstellbar	unimagined
nicht schlüssig	inconclusive
ergebnislos	inconclusively
Inkongruenz	incongruousness
inkongruent	incongruently
unbesiegbar	undefeatable
unaufeinanderfolgende	inconsecutively
Unkontinuität	inconsecutiveness
belanglos	petty
Belanglosigkeit	inconsequentiality
inkonsequenterweise	inconsequently
unbeträchtlich	inconsiderable
Rücksichtslosigkeit	ruthlessness
unter Berücksichtigung	inconsideration
Inkonsistenz	inconsistency
inkonsistent	inconsistent
uneinheitlich	inconsistently
Untröstlichkeit	inconsolableness
untröstlich	inconsolably
unauffällig	unremarkable
Unauffälligkeit	unobtrusiveness
unbeständig	inconstantly
unverzehrbar	inconsumable
Unanfechtbarkeit	incontestability
Inkontinenz	incontinency
unkontrollierbar	unmanageably
Unumstößlichkeit	incontrovertibility
unwiderlegbar	irrefutably
Unkonvertibilität	inconvertibility
nicht umwandelbar	unconvertible
Übernehmen	incorporate
eingearbeitet	incorporated
Eingliederung	incorporation
unkörperlich	incorporeal
Unrichtigkeit	wrongness
unverbesserlich	incorrigibly
Unbestechlichkeit	incorruptness
unbestechlich	incorruptibly
steigerbar	increasable
unglaublich	unbelievably
Unglaublichkeit	incredibleness
Ungläubigkeit	incredulousness
Zuwachs	increment
inkrementell	incremental
inkubieren	incubate
Inkubation	incubation
Inkubator	incubator
Inkubatorium	incubatory
Amtsinhaber	officeholder
eingehen	incur
Unheilbarkeit	incurableness
unheilbar	terminally
Einfall	inroad
aufdringlich	pushy
Schulden haben	indebt
verschuldet	indebted
Verschuldung	indebtedness
unanständig	ungraceful
Unkenntlichkeit	indecipherability
nicht entzifferbar	undecipherable
Unentschlossenheit	indecisiveness
unentschlossen	undecidedly
unabweisbar	indeclinable
In der Tat	indeed
Unhaltbarkeit	indefensibility
unhaltbar	unsustainable
undefinierbar	indefinably
Undefinierbarkeit	indefinableness
unbestimmt	undetermined
unbegrenzt	unlimitedly
Unbestimmtheit	unassertiveness
unauslöschlich	inextinguishable
unfein	ungentlemanly
taktlos	tactlessly
entschädigen	indemnify
Einzug	indention
eingerückt	indented
vertraglich gebunden	indentured
Unabhängigkeit	independency
unabhängig	unrelated
Unbeschreiblichkeit	indescribability
unbeschreiblich	untellable
Unzerstörbarkeit	indestructibleness
unzerstörbar	indestructibly
unauffindbar	untraced
unbestimmbar	undeterminable
Index	subscript
indiziert	indexed
Indizierung	indexing
angeben	specify
indikativ	indicative
Indikator	indicatory
Indizes	indices
Indie	indie
gleichgültig	uncaring
einheimisch	native
Indigenität	indigenousness
unverdaut	undigested
Unverträglichkeit	intolerability
unverdaulich	indigestible
Verdauungsstörungen	indigestion
verdauungsbeschwerden	indigestive
empört	outraged
Empörung	outrage
Demütigung	mortification
Indigo	indigo
indirekt	indirectly
Indirektheit	indirectness
nicht wahrnehmbar	indiscernible
Disziplinlosigkeit	indiscipline
indiscoverable	indiscoverable
indiskret	indiscrete
Indiskretheit	indiscreetness
Indiskretion	indiscretion
unterschiedslos	indiscriminate
indiscriminateness	indiscriminateness
indiscriminate	indiscriminating
wahllos	indiscriminatingly
indiscrimination	indiscrimination
Unentbehrlichkeit	indispensability
unverzichtbar	indispensable
Unverzichtbarkeit	indispensableness
unentbehrlich	indispensably
unwohl	indisposed
Unwohlsein	indisposition
Unbestreitbarkeit	indubitableness
undeutlich	indistinctively
Ununterscheidbarkeit	indistinguishableness
Undeutlichkeit	indistinctness
nicht zu unterscheiden	indistinguishable
ununterscheidbar	undistinguishing
unumstößlich	uncapsizable
Individualismus	individualism
Individualist	individualist
individualistisch	individualistic
Individualität	individuality
Individualisierung	individuation
individualisieren	individualize
individuell	individually
Unteilbarkeit	indivisibleness
unteilbar	undividable
Indoktrination	indoctrination
drinnen	indoors
unverkennbar	unmistaken
induzieren	induct
Induktor	inductor
Eingeweihter	inductee
Induktion	induction
induktiv	inductively
Induktivität	inductiveness
frönen	indulge
Genuss	indulgence
verwöhnt	spoiled
Genussmensch	indulger
verwöhnen	pamper
industriell	industrially
Industrialismus	industrialism
Industrieller	industrialist
Industrialisierung	industrialization
Fleiß	studiousness
Industrie	industry
betrunken werden	inebriate
Rausch	intoxication
Ungenießbarkeit	inedibility
ungenießbar	unpalatable
unwirksam	inoperative
Unwirksamkeit	inefficacy
wirkungslos	ineffectually
Ineffektivität	ineffectualness
Ineffizienz	inefficiency
ineffizient	inefficiently
Unelastizität	inelasticity
unelegant	inelegantly
nicht förderfähig	ineligible
sie sprechen nicht	ineloquent
wortlos	wordlessly
ungerecht	unrighteous
Ungerechtigkeit	unrighteousness
Trägheit	sluggishness
träge	sluggishly
unausweichlich	inescapably
unwesentlich	unsubstantially
unschätzbar	inestimably
Unvermeidlichkeit	inevitableness
unvermeidlich	unavoidably
zwangsläufig	inevitably
in genau	inexactly
Unentschuldbarkeit	inexcusableness
unentschuldbar	inexcusable
Unerschöpflichkeit	inexhaustibleness
unerschöpflich	inexhaustibly
Nichtexistenz	nonexistence
nicht existent	nonexistent
preiswert	inexpensively
Kostengünstigkeit	inexpensiveness
Unerfahrenheit	inexperience
unerfahren	inexperienced
Unerklärlichkeit	inexplicitness
unerklärlich	unexplainably
unerklärlicherweise	inexplicably
unaussprechlich	unspeaking
Unaussprechlichkeit	inexpressibleness
Ausdruckslosigkeit	inexpressiveness
untrennbar	inseparably
inf	inf
Unfehlbarkeit	infallibility
unfehlbar	unfailing
berüchtigt	notorious
Berüchtigtheit	notoriousness
Säugling	suckling
infantil	infantile
Infantilismus	infantilism
Infanterie	infantry
Infanterist	infantryman
undurchführbar	unfeasibly
infizieren	infect
infiziert	infected
Infektion	infection
Infektiosität	infectiveness
Infektor	infector
Inferenz	inference
minderwertig	substandard
Minderwertigkeit	inferiority
Inferno	inferno
Befall	infestation
Infield	infield
Innenfeldspieler	infielder
infiltrieren	infiltrate
Infiltration	infiltration
Eindringling	trespasser
unendlich	unendingly
Infinitiv	infinitive
Krankenstation	infirmary
entflammen	inflame
entzündet	inflamed
Entzünder	inflamer
entflammbar	inflammable
Entzündung	inflammation
entzündlich	inflammatory
aufblasbar	inflatable
aufblasen	inflate
aufgeblasen	inflated
Aufgeblasenheit	inflatedness
Inflation	inflation
inflationär	inflationary
inflationistisch	inflationist
beugen	inflect
flektiert	inflected
Flexion	inflection
flektierungslos	inflectionless
Inflexibilität	inflexibility
unflexibel	inflexibly
Unflexibilität	inflexibleness
zufügen	inflict
Zufügung	infliction
Zufluss	inflow
Influencer	influencer
einflussreich	influentially
Zustrom	influx
die Info	info
Infomercial	infomercial
informell	informal
Ungezwungenheit	informality
Informant	informer
Information	information
informativ	informingly
informiert	informed
Infrarot	infrared
Seltenheit	rarity
selten	seldom
verletzen	violate
wütend machen	infuriate
einflößen	infuser
Unschmelzbarkeit	infusibility
unschmelzbar	infusible
Infusion	infusion
Genialität	ingeniousness
naiv	naive
einnehmbar	ingestible
Einnahme	ingestion
unrühmlich	ingloriously
tief verwurzelt	ingrained
einschmeichelnd	ingratiating
Undankbarkeit	ungratefulness
Zutat	ingredient
Zutaten	ingredients
eingewachsen	ingrown
bewohnt	inhabited
sie bewohnen	inhabitant
Besiedlung	inhabitation
Inhalation	inhalation
einatmen	inhale
Inhalator	inhaler
unharmonisch	unharmonious
Unharmonizität	inharmoniousness
inhärent	inherent
von Natur aus	innately
du erbst	inherit
vererbbar	inheritable
Nachlass	probate
hemmen	inhibit
Inhibitor	inhibiter
Hemmung	inhibition
hemmend	inhibitive
unwirtlich	inhospitably
Ungastlichkeit	inhospitableness
in Gastfreundschaft	inhospitality
Inhouse	inhouse
unmenschlich	nonhuman
Unmenschlichkeit	inhumanness
anfänglich	initially
Initialisierung	initialization
initialisieren	initialize
Initialen	initials
einleiten	initiate
Einleitung	initiation
Initiative	initiative
Initiator	initiator
injizieren	inject
Injektion	injection
Injektor	injector
unüberlegt	injudiciously
einstweilige Verfügung	injunctive
Verletzer	violator
Verletzung	wounding
Tinte	ink
tintenlos	inkless
Stempelkissen	inkpad
Tinten	inks
Tintenfass	inkwell
tintenfarben	inky
Inland	inland
im Einklang	inline
Insasse	inmate
Angeborenheit	innateness
innere	inward
innerste	innermost
Inning	inning
Innings	innings
Gastwirt	innkeeper
Unschuld	innocence
unschuldig	innocently
Unschädlichkeit	innocuousness
innovieren	innovate
innovativ	innovational
Innovation	innovation
Innovationist	innovationist
Innovator	innovator
andeuten	innuendo
Unzähligkeit	innumerability
unzählig	innumerate
Nichtbeachtung	inobservance
inokulieren	inoculate
Impfung	vaccination
Unbedenklichkeit	inoffensiveness
nicht funktionsfähig	nonfunctional
zur Unzeit	inopportunely
anorganisch	nonorganic
stationär	inpatient
Fragesteller	questioner
nachfragen	inquiring
fragend	quizzically
Anfrage	request
Inquisition	inquisition
Inquisitor	inquisitor
Unersättlichkeit	insatiableness
unersättlich	voracious
Einschreiber	inscriber
Inschrift	inscription
inschriftlich	inscriptional
Unergründlichkeit	inscrutableness
Innennaht	inseam
Insektizid	insecticide
Insektil	insectile
unsicher	unsure
Unsicherheit	unsteadiness
besamen	inseminate
Besamung	insemination
Unempfindlichkeit	insusceptibility
unempfindlich	unsusceptible
unsensibel	insensitively
Untrennbarkeit	inseparableness
einfügen	insert
eingefügt	inserted
Einfügemaschine	inserter
Einfügen	insertion
innen	inside
Insider	insider
Heimtücke	insidiousness
Einblick	insight
Insignien	regalia
Bedeutungslosigkeit	unimportance
unbedeutend	insignificant
unterstellen	insinuate
unterstellend	insinuating
Unterstellung	insinuation
der Angeber	insinuator
Fadheit	insipidness
pochen	thumping
Beharren	insistence
beharrlich	persistently
Einlegesohle	insole
Unlöslichkeit	insolubility
unlöslich	insoluble
unauflöslich	insolubly
Insolvenz	insolvency
zahlungsunfähig	insolvent
Schlaflosigkeit	sleeplessness
schlaflos	sleepless
Inspektion	inspection
Inspektor	inspector
inspektorisch	inspectorial
Inspiration	inspiration
inspirierend	inspiringly
inspirieren	inspirer
inspiriert	inspired
Instabilität	unstableness
Installation	plumbing
Installateur	installer
Rate	rate
sofortig	instant
stattdessen	loco
Spann	instep
anstiften	instigate
Anstiftung	instigation
Anstifter	instigator
Instinkt	instinct
instinktiv	instinctual
Institut	institute
Institution	institution
institutionell	institutionary
Institutionalismus	institutionalism
Institutionalisierung	institutionalization
institutionalisieren	institutionalize
anweisen	instruct
angewiesen	reliant
Anweisung	instruction
Lehrauftrag	instructorship
Instrument	instrument
instrumental	instrumental
Instrumentalismus	instrumentalism
Instrumentalist	instrumentalist
Instrumentalität	instrumentality
instrumentell	instrumentally
Instrumentierung	instrumentation
unbotmäßig	insubordinately
Gehorsamsverweigerung	insubordination
Unwesentlichkeit	insubstantiality
unerträglich	unendurably
Unerträglichkeit	intolerableness
Insuffizienz	insufficiency
ungenügend	unsatisfactory
isolieren	isolate
isoliert	isolated
isolierend	isolating
Isolierung	isolation
Isolator	isolator
Insulin	insulin
beleidigend	offensive
ununterdrückbar	insuppressibly
Versicherbarkeit	insurability
Versicherung	insurance
versichern	insure
Aufstand	riot
Aufständischer	insurrectionist
unüberwindbar	insurmountable
aufständisch	insurrectional
intakt	intact
Unversehrtheit	intactness
Ungreifbarkeit	intangibility
Immaterielles	intangibleness
ganze Zahl	integer
Integral	integral
integrieren	integrate
Integration	integration
integrativ	integrative
Integrator	integrator
Integrität	integrity
Intellekt	intellect
intellektuell	intellectually
Intellektualismus	intellectualism
Intellektualist	intellectualist
intellektualistisch	intellectualistic
Geistigkeit	intellectuality
Intellektualisierung	intellectualization
intellektualisieren	intellectualize
intelligent	intelligently
beabsichtigen	intending
beabsichtigt	intentioned
intensiv	intensively
Intensität	intensiveness
Intensivierung	intensification
intensivieren	intensify
Absicht	intentness
Absichtlichkeit	intentionality
inter	inter
interagieren	interact
Interaktion	interaction
interaktionell	interactional
interaktiv	interactive
Interaktivität	interactivity
vermischen	intermix
abfangen	intercepting
Abfangen	interception
abfangend	interceptive
Abfangjäger	interceptor
interkollegial	intercollegiate
Gegensprechanlage	intercom
miteinander kommunizieren	intercommunicate
interkommunikativ	intercommunicative
unternehmensübergreifend	intercompany
miteinander verbinden	interconnecting
Zusammenschaltung	interconnection
interkontinental	intercontinental
interkulturell	intercultural
interkonfessionell	interdenominational
Interdependenz	interdependence
gegenseitige Abhängigkeit	interdependency
voneinander abhängig	interdependently
interdisziplinär	interdisciplinary
Interesse	interestedness
interessiert	interestedly
interessant	interestingly
Schnittstelle	interface
interreligiös	interreligious
Interferenz	interference
Generationenwechsel	intergeneration
zwischenstaatliche	intergovernmental
Verwachsung	intergrowth
vorläufig	tentatively
Innere	interior
einwerfen	interject
interjektional	interjectionally
Interjektor	interjector
verschachteln	interlace
verschachtelt	interlaced
Einlage	interlining
miteinander verknüpfen	interlink
Verriegelung	locking
Unterwelt	underworld
Zwischenspiel	interlude
Mischehe	intermarriage
untereinander heiraten	intermarry
Vermittler	mediator
dazwischenliegend	intermediate
zwischendurch	intermediately
Zwischenzustand	intermediateness
ineinandergreifen	intermesh
Pause	intermission
wechselnd	intermittent
intermittierend	intermitting
Praktikant	intern
intern	internal
verinnerlichen	internalize
im Inneren	internally
Interna	internals
International	international
Internationalismus	internationalism
Internationalist	internationalist
Internationalität	internationality
Internationalisierung	internationalization
internationalisieren	internationalize
international	internationally
Internet	internet
Internist	internist
Internierung	internment
Praktikum	internship
interbüro	interoffice
zwischenmenschlich	interpersonal
interplanetarisch	interplanetary
Zusammenspiel	interplay
dazwischenschalten	interposing
interpretieren	interpret
interpretierbar	interpretable
Deutung	interpretation
interpretativ	interpretively
Dolmetscher	interpreter
interpretierend	interpretive
interrassisch	interracial
interregional	interregional
miteinander verbunden	interrelated
Wechselbeziehung	interrelationship
Zusammenhang	interrelation
abfragen	querying
verhören	interrogatingly
Verhör	interrogation
Vernehmer	interrogator
unterbrechen	interrupting
unterbrochen	interrupted
unterbrechbar	interruptible
unterbrechend	interruptive
interscholastisch	interscholastic
Überschneidung	intersection
Intersexualität	intersexuality
Interspezies	interspecies
durchsetzen	intersperse
zwischenstaatlich	interstate
verflechten	intertwine
Streithelfer	intervener
Intervention	intervention
interventionell	interventional
Interventionismus	interventionism
Interview	interview
Interviewpartner	interviewee
Interviewer	interviewer
verweben	interweave
verwoben	interwoven
Intimität	intimateness
intim	intimately
einschüchtern	intimidate
einschüchternd	intimidating
Einschüchterer	intimidator
hinein	into
Intoleranz	intolerance
intolerant	intolerantly
Intonation	intonation
Rauschmittel	intoxicant
berauschen	intoxicate
berauscht	intoxicated
intrazellulär	intracellular
intrakraniell	intracranial
Widerspenstigkeit	unruliness
intramural	intramural
intramuskulär	intramuscularly
Intranet	intranet
innerstaatlich	intrastate
intravaskulär	intravascular
intravenös	intravenously
Unerschrockenheit	pluckiness
Intrigen	intriguer
intrinsisch	intrinsic
an sich	intrinsically
Einführung	introduction
einführen	introduce
Einführer	introducer
EINLEITEND	introductive
einleitend	introductory
Selbstbeobachtung	introspect
introspektiv	introspectively
Introspektivität	introspectiveness
Introvertiertheit	introversion
introvertierte	introverted
eindringen	intrude
eindringend	intruding
Zudringlichkeit	intrusiveness
Intuition	intuition
